Name,Category,Price,Stock Amount,Rating
A Light in the Attic,Poetry,51.77,In stock,3
Tipping the Velvet,Historical Fiction,53.74,In stock,1
Soumission,Fiction,50.1,In stock,1
Sharp Objects,Mystery,47.82,In stock,4
Sapiens: A Brief History of Humankind,History,54.23,In stock,5
The Requiem Red,Young Adult,22.65,In stock,1
The Dirty Little Secrets of Getting Your Dream Job,Business,33.34,In stock,4
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,17.93,In stock,3
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,22.6,In stock,4
The Black Maria,Poetry,52.15,In stock,1
"Starving Hearts (Triangular Trade Trilogy, #1)",Default,13.99,In stock,2
Shakespeare's Sonnets,Poetry,20.66,In stock,4
Set Me Free,Young Adult,17.46,In stock,5
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,52.29,In stock,5
Rip it Up and Start Again,Music,35.02,In stock,5
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,57.25,In stock,3
Olio,Poetry,23.88,In stock,1
Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,37.59,In stock,1
Libertarianism for Beginners,Politics,51.33,In stock,2
It's Only the Himalayas,Travel,45.17,In stock,2
